"一级模块","二级模块","功能点","入口/页面","当前能力说明","状态"
"沙箱环境","详情弹窗","环境状态监控","沙箱详情弹窗-环境状态","展示 VRAM 使用、GPU Usage、GPU Power 等监控指标和进度条","已实现"
"沙箱环境","详情弹窗","运行记录查看","沙箱详情弹窗-沙盒运行记录","展示运行日志时间线，无记录时显示空态","已实现"
"沙箱环境","详情弹窗","停止并释放 GPU","沙箱详情弹窗","支持停止当前沙箱并释放 GPU 资源","已实现"
"沙箱环境","详情弹窗","详情弹窗渐变样式","沙箱详情弹窗","详情弹窗沿用深色渐变背景和 8px 圆角规范","已实现"
"沙箱环境","操作栏","停止沙箱二次确认","沙箱环境页面/详情弹窗","点击停止后弹出确认弹窗，确认后状态切换","已实现"
"沙箱环境","操作栏","停止后按钮切换为开始","沙箱环境页面","停止确认后，操作按钮可从停止切换为开始图标/动作","已实现"
"沙箱环境","操作栏","删除沙箱二次确认","沙箱环境页面","删除动作有确认弹窗","已实现"
"沙箱环境","操作栏","删除沙箱名称确认","沙箱环境页面","删除前需要输入沙箱名称以确认，防止误删","已实现"
"沙箱环境","镜像导出","导出沙箱镜像弹窗","沙箱详情/操作入口","支持打开导出镜像弹窗并进行镜像导出配置","已实现"
"沙箱环境","镜像导出","镜像信息填写","导出沙箱镜像弹窗","支持填写镜像名称、标签、描述、目标注册表","已实现"
"沙箱环境","镜像导出","镜像 URL 预览","导出沙箱镜像弹窗","根据输入动态生成镜像 URL 预览","已实现"
"沙箱环境","镜像导出","复制镜像 URL","导出沙箱镜像弹窗","支持一键复制镜像 URL 预览结果","已实现"
"沙箱环境","镜像导出","导出提交","导出沙箱镜像弹窗","支持点击导出执行模拟提交","已实现"
"批量任务","列表页","批量任务页面","批量任务页面","页面标题为“批量任务”，副标题为“在此处管理您的模型训练任务。”","已实现"
"批量任务","列表页","页面滚动","批量任务页面","批量任务页面整体支持滚动浏览","已实现"
"批量任务","列表页","任务列表展示","批量任务页面","以卡片列表展示训练任务，支持 hover 高亮，不使用蓝色描边常驻效果","已实现"
"批量任务","列表页","筛选任务状态","批量任务页面","支持按状态多选筛选任务","已实现"
"批量任务","列表页","筛选任务所有者","批量任务页面","支持按所有者多选筛选任务","已实现"
"批量任务","列表页","清空筛选","批量任务页面","已选择状态或所有者后可一键清除全部筛选条件","已实现"
"批量任务","列表页","任务进度展示","批量任务页面","展示当前步数/总步数及进度条","已实现"
"批量任务","列表页","核心指标展示","批量任务页面","支持展示任务核心指标，并根据不同任务类型提供对应指标内容","已实现"
"批量任务","列表页","吞吐量展示","批量任务页面","展示任务吞吐量等运行指标","已实现"
"批量任务","列表页","创建时间展示","批量任务页面","展示任务创建时间","已实现"
"批量任务","列表页","任务资源展示","批量任务页面","展示 GPU 申请数、资源类型、超时时间等摘要信息","已实现"
"批量任务","任务操作","任务暂停","批量任务页面","运行中和排队中的任务显示“任务暂停”按钮","已实现"
"批量任务","任务操作","任务暂停二次确认","批量任务页面","暂停操作会弹出确认弹窗，确认后更新状态","已实现"
"批量任务","任务操作","重启任务","批量任务页面","已暂停和失败状态显示“重启任务”按钮","已实现"
"批量任务","任务操作","完成态任务操作","批量任务页面","已完成任务支持查看运行信息与执行删除操作","已实现"
"批量任务","任务操作","暂停态任务管理","批量任务页面","支持对已暂停任务执行重启等后续管理操作","已实现"
"批量任务","任务操作","任务删除","批量任务页面","提供任务删除按钮","已实现"
"批量任务","任务操作","任务删除二次确认","批量任务页面","删除任务前弹出确认弹窗","已实现"
"批量任务","任务操作","输入任务名称确认删除","批量任务页面","删除任务前必须输入任务名称完全匹配才可确认删除","已实现"
"批量任务","新建任务","新建任务入口","批量任务页面右上角","提供“新建任务”入口，用于发起新的训练任务","已实现"
"批量任务","新建任务","新建任务弹窗","批量任务页面","支持打开新建训练任务弹窗","已实现"
"批量任务","新建任务","弹窗标题区样式","新建任务弹窗","弹窗标题区采用统一的深色视觉风格","已实现"
"批量任务","新建任务","三步式标签","新建任务弹窗","当前包含基础设置、资源库、GPU选择&配置三个 tab","已实现"
"批量任务","新建任务","基础设置","新建任务弹窗-基础设置","支持填写任务名称、优先级、模型、数据集等基础信息","已实现"
"批量任务","新建任务","资源库来源切换","新建任务弹窗-资源库","支持 Github 与 Docker Image 两种资源来源模式","已实现"
"批量任务","新建任务","Github 资源配置","新建任务弹窗-资源库","支持填写资源库 URL、分支、入口命令","已实现"
"批量任务","新建任务","Docker 镜像配置","新建任务弹窗-资源库","支持填写镜像 URL、镜像标签、入口命令，且“Docker Image”保持单行显示","已实现"
"批量任务","新建任务","GPU 选择与配置","新建任务弹窗-GPU选择&配置","支持统一的 GPU 模式、数量与卡型配置体验","已实现"
"批量任务","新建任务","独占 GPU 配置","新建任务弹窗-GPU选择&配置","独占模式支持 1 到 8 张 GPU","已实现"
"批量任务","新建任务","共享 GPU 配置","新建任务弹窗-GPU选择&配置","共享模式支持 0.5 和 0.25 GPU","已实现"
"批量任务","新建任务","GPU 卡型选择","新建任务弹窗-GPU选择&配置","支持 A100、H100、L40s、V100 卡型卡片选择","已实现"
"批量任务","新建任务","GPU 预估成本","新建任务弹窗","支持显示小时、按天、按月成本估算，当前以 RMB 展示","已实现"
"批量任务","新建任务","步骤式流转","新建任务弹窗","支持基础设置、资源库、GPU选择&配置的顺序式步骤流转","已实现"
"批量任务","新建任务","GPU 配置表单","新建任务弹窗-GPU选择&配置","GPU 配置页聚焦于 GPU 模式、数量、卡型及成本信息配置","已实现"
"批量任务","新建任务","最终部署提交","新建任务弹窗","在最后一步点击部署可创建新任务并加入列表顶部","已实现"
"模型管理","模型列表","模型浏览","模型管理页面","支持浏览模型列表并按名称、框架搜索","已实现"
"模型管理","模型操作","模型部署入口","模型管理页面","支持从模型卡片发起部署动作","已实现"
"模型管理","模型操作","部署到沙箱","模型管理页面弹窗","支持从模型部署入口切换到沙箱创建表单","已实现"
"模型管理","模型操作","部署到训练任务","模型管理页面弹窗","支持从模型部署入口切换到训练任务表单","已实现"
"模型管理","模型操作","模型部署表单","模型管理页面弹窗","支持填写任务或沙箱创建所需基础字段","已实现"
"数据集管理","数据集列表","公共数据集浏览","数据集管理页面","展示平台提供的数据集列表","已实现"
"数据集管理","数据集列表","数据集搜索","数据集管理页面","支持按名称、来源搜索数据集","已实现"
"数据集管理","数据集列表","刷新入口","数据集管理页面","提供刷新按钮样式和入口","已实现"
"数据集管理","数据集操作","从数据集发起部署","数据集管理页面","支持从数据集条目直接创建沙箱或训练任务","已实现"
"数据集管理","数据集操作","部署到沙箱/训练","数据集管理页面弹窗","支持切换沙箱表单和训练任务表单","已实现"
"文件管理","对象存储","Bucket 列表与切换","文件管理页面","支持多个 Bucket 的存储容量、文件数和可见性管理展示","已实现"
"文件管理","对象存储","Bucket 可见性","文件管理页面","支持 private、publicReadonly、publicReadWrite 三种可见性配置","已实现"
"文件管理","对象存储","新建 Bucket","文件管理页面","支持打开新建 Bucket 弹窗并设置名称、容量、可见性","已实现"
"文件管理","文件浏览","文件/文件夹列表","文件管理页面","支持按当前 Bucket 浏览文件和文件夹","已实现"
"文件管理","文件浏览","文件搜索","文件管理页面","支持按名称搜索当前 Bucket 内文件","已实现"
"文件管理","文件操作","文件多选","文件管理页面","支持选择多个文件进行批量操作的基础状态管理","已实现"
"文件管理","文件操作","下载/删除/分享等入口","文件管理页面","提供下载、删除、分享、上传、新建文件夹等操作入口","已实现"
"集群节点","节点监控","集群节点列表","集群节点页面","展示 Kubernetes 集群节点及其 GPU 健康状态","已实现"
"集群节点","节点监控","节点健康状态","集群节点页面","根据节点下 GPU 状态汇总展示健康或告警状态","已实现"
"集群节点","节点监控","GPU 卡监控","集群节点页面","展示每张 GPU 的显存占用、温度、健康状态等信息","已实现"
"集群节点","节点监控","节点资源概览","集群节点页面","展示节点 CPU、内存等资源概要","已实现"
"管理中心","平台设置","管理中心页面","管理中心页面","提供平台设置与节点集群两个子标签页","已实现"
"管理中心","平台设置","抢占策略配置","管理中心-平台设置","支持设置按用户配额抢占、按优先级抢占、禁止抢占等策略","已实现"
"管理中心","平台设置","策略变更提示","管理中心-平台设置","配置区包含策略变更生效时机提示","已实现"
"管理中心","用户管理","用户列表","管理中心-平台设置","展示用户姓名、邮箱、GPU 配额、余额、优先级等信息","已实现"
"管理中心","用户管理","添加用户","管理中心-平台设置","支持打开添加用户弹窗","已实现"
"管理中心","用户管理","编辑用户","管理中心-平台设置","支持编辑单个用户配置","已实现"
"管理中心","用户管理","GPU 白名单/不限量","管理中心-平台设置","支持用户允许 GPU 类型控制以及不限量配置","已实现"
"管理中心","节点与集群","节点视图","管理中心-节点与集群","可在管理中心内再次查看节点与集群相关信息","已实现"
"账户设置","个人资料","账户设置页面","账户设置页面","提供个人资料、安全、偏好设置、账单四个标签页","已实现"
"账户设置","个人资料","基础资料展示与编辑","账户设置-个人资料","展示姓名、邮箱、角色、部门等信息","已实现"
"账户设置","安全","API Key 展示","账户设置-安全","支持查看或隐藏 API Key","已实现"
"账户设置","安全","复制 API Key","账户设置-安全","支持复制 API Key，并带复制成功反馈","已实现"
"账户设置","偏好设置","默认 GPU 类型","账户设置-偏好设置","支持设置默认 GPU 类型等偏好参数","已实现"
"账户设置","偏好设置","默认优先级","账户设置-偏好设置","支持设置默认任务优先级","已实现"
"账户设置","偏好设置","自动停止超时","账户设置-偏好设置","支持设置自动停止超时时间","已实现"
"账户设置","账单","本月使用量概览","账户设置侧栏","展示本月 GPU 时长、成本、任务数等摘要","已实现"
"视觉规范","主题风格","深色模式","全站","当前系统保持深色主题风格为主","已实现"
"视觉规范","组件样式","圆角统一 8px","全站重点模块","新建沙箱、沙箱详情、沙箱列表、批量任务等重点区域采用 8px 圆角矩形样式","已实现"
"视觉规范","组件样式","弹窗深色渐变背景","新建沙箱/沙箱详情等弹窗","关键弹窗采用蓝色描边和深色渐变背景视觉","已实现"
"视觉规范","组件样式","Hover 高亮","批量任务等列表","列表项采用悬停高亮效果，增强浏览与操作反馈","已实现"
"数据与交互","数据来源","Mock 数据驱动","多个页面","当前多数业务列表和详情由 MOCK_WORKLOADS、MOCK_MODELS、MOCK_DATASETS、MOCK_GPUS 等模拟数据驱动","已实现"
"数据与交互","提交行为","前端模拟提交","多个创建/操作弹窗","新建、暂停、重启、删除、导出等动作为前端状态更新或控制台模拟提交，未见真实后端 API 对接","部分实现"
"数据与交互","交互反馈","二次确认机制","沙箱和批量任务关键操作","对停止、暂停、删除等高风险动作提供二次确认和名称输入确认机制","已实现"
